Arquivo,Real_mm2,IA_mm2,Erro_Abs_mm2,Erro_Perc,N_Colonias,Px_Escala,Fator_Conv
d3_t4_40uL_r5,835.72,833.4484266969372,2.271573303062837,0.27181033157790135,1,1256226.5,0.001274
d3_t4_60uL_r1,953.28,965.3864562585364,12.106456258536468,1.269979046926031,1,1313130.5,0.001218
d3_t4_60uL_r2,712.47,691.6629779797893,20.807022020210752,2.920406756805304,1,1300146.5,0.001231
d3_t4_60uL_r3,798.04,819.7006483284864,21.660648328486445,2.714230906782423,1,1311835.0,0.00122
d3_t4_60uL_r4,805.52,796.7612648649533,8.758735135046663,1.0873392510485975,1,1283093.5,0.001247
d3_t4_60uL_r5,758.74,793.1819039684915,34.44190396849149,4.539355242703889,1,1311392.5,0.00122
d3_t4_80uL_r1,614.86,604.8860115837291,9.973988416270913,1.6221560056388302,1,1304847.5,0.001226
d3_t4_80uL_r2,607.7,630.9397087380883,23.23970873808821,3.8242074606036214,1,1299243.0,0.001231
d3_t4_80uL_r3,652.76,649.9348872671907,2.825112732809316,0.4327950139115933,1,1295829.5,0.001235
d3_t4_80uL_r4,731.66,735.4614321346111,3.8014321346111046,0.5195626567819895,1,1294990.0,0.001236
d3_t4_80uL_r5,662.04,669.4710830379114,7.431083037911435,1.122452274471548,1,1308721.5,0.001223
d3_t5_100uL_r1,1468.29,1475.1610771774501,6.871077177450161,0.46796458311710637,1,1289444.0,0.001241
d3_t5_100uL_r2,1800.53,1762.6346818459037,37.89531815409623,2.1046757429254845,1,1333049.0,0.0012
d3_t5_100uL_r3,2123.72,2101.701228575739,22.01877142426065,1.0368019995225666,1,1305821.0,0.001225
